X,Y,ruta,parada,label,itinerario,objectid,linea
-8408290.46267261,694669.299337663,C6-025,Cll 47 Cr 2BB,Cll 47 Cr 2BB,C6-025  8 de Marzo - Estación Oriente,1592,C6-025 8 de Marzo - Estación Oriente
-8408322.066058,694733.474006921,C6-025,Cll 47 Cr 3,Cll 47 Cr 3,C6-025  8 de Marzo - Estación Oriente,1593,C6-025 8 de Marzo - Estación Oriente
-8408419.24152285,694811.757942345,C6-025,Calle 48 - Cr4,Calle 48 - Cr4,C6-025  8 de Marzo - Estación Oriente,1594,C6-025 8 de Marzo - Estación Oriente
-8408554.32963501,694862.948802028,C6-025,Cl 48 con Cra 3D,Cl 48 con Cra 3D,C6-025  8 de Marzo - Estación Oriente,1595,C6-025 8 de Marzo - Estación Oriente
-8408663.75525966,694938.439347826,C6-025,Calle 49 - Cr6AB,Calle 49 - Cr6AB,C6-025  8 de Marzo - Estación Oriente,1596,C6-025 8 de Marzo - Estación Oriente
-8408766.75677649,694998.839020364,C6-025,Calle 49 - Cr7,Calle 49 - Cr7,C6-025  8 de Marzo - Estación Oriente,1597,C6-025 8 de Marzo - Estación Oriente
-8409046.53647519,695066.970135052,C6-025,Calle 49 - Cr10,Calle 49 - Cr10,C6-025  8 de Marzo - Estación Oriente,1598,C6-025 8 de Marzo - Estación Oriente
-8409106.99926193,695223.927495494,C6-025,Cl 49A entre Cra 12 y 12A,Cl 49A entre Cra 12 y 12A,C6-025  8 de Marzo - Estación Oriente,1599,C6-025 8 de Marzo - Estación Oriente
-8409106.99926193,695223.927495494,C6-025,Cl 49A entre Cra 12 y 12A,Cl 49A entre Cra 12 y 12A,C6-025 Estación Oriente - 8 de Marzo,1600,C6-025 8 de Marzo - Estación Oriente
-8409004.03739404,695018.402020019,C6-025,Cl 49A con Cra 9B,Cl 49A con Cra 9B,C6-025 Estación Oriente - 8 de Marzo,1601,C6-025 8 de Marzo - Estación Oriente
-8408721.39841074,694991.476773575,C6-025,Cl 49A con Cra 6B,Cl 49A con Cra 6B,C6-025 Estación Oriente - 8 de Marzo,1602,C6-025 8 de Marzo - Estación Oriente
-8408678.49357987,694884.32349772,C6-025,Cl 48 con Cra 6AB,Cl 48 con Cra 6AB,C6-025 Estación Oriente - 8 de Marzo,1603,C6-025 8 de Marzo - Estación Oriente
-8408555.25684145,694859.012219559,C6-025,Cl 48 con Cra 3D,Cl 48 con Cra 3D,C6-025 Estación Oriente - 8 de Marzo,1604,C6-025 8 de Marzo - Estación Oriente
-8408422.24942293,694810.564925939,C6-025,Cl 48 con Cra 4,Cl 48 con Cra 4,C6-025 Estación Oriente - 8 de Marzo,1605,C6-025 8 de Marzo - Estación Oriente
-8408340.60289777,694779.598562483,C6-025,Cll 48 Cr 3,Cll 48 Cr 3,C6-025 Estación Oriente - 8 de Marzo,1606,C6-025 8 de Marzo - Estación Oriente
-8408278.28492374,694666.008833583,C6-025,Cl 47 con Cra 2BB,Cl 47 con Cra 2BB,C6-025 Estación Oriente - 8 de Marzo,1607,C6-025 8 de Marzo - Estación Oriente
-8408097.29048084,694583.547688223,C6-025,Cl 46 con Cra 2AG,Cl 46 con Cra 2AG,C6-025 Estación Oriente - 8 de Marzo,1608,C6-025 8 de Marzo - Estación Oriente
-8407811.52570743,694659.31522885,C6-025,Cl 46 con Cra 1AA,Cl 46 con Cra 1AA,C6-025 Estación Oriente - 8 de Marzo,1609,C6-025 8 de Marzo - Estación Oriente
-8407564.47138429,694698.089682646,C6-025,Cl 46 CR 1A,Cl 46 CR 1A,C6-025 Estación Oriente - 8 de Marzo,1610,C6-025 8 de Marzo - Estación Oriente
-8407254.66049973,694533.090116307,C6-025,Km 3 +900,Km 3 +900,C6-025 Estación Oriente - 8 de Marzo,1611,C6-025 8 de Marzo - Estación Oriente
-8407131.5431156,694599.743207958,C6-025,La Espadera km 4+130,La Espadera km 4+130,C6-025 Estación Oriente - 8 de Marzo,1612,C6-025 8 de Marzo - Estación Oriente
-8408721.73037479,694681.590962324,C6-025B,Senderos Bosque Verde,Senderos Bosque Verde,C6-025B  Bosque Verde - Estación Oriente,1613,C6-025B  Bosque Verde - Estación Oriente
-8408618.91900921,694742.533807639,C6-025B,Bosque Verde,Bosque Verde,C6-025B  Bosque Verde - Estación Oriente,1614,C6-025B  Bosque Verde - Estación Oriente
-8408554.54945261,694862.07724658,C6-025B,Cl 48 con Cra 3D,Cl 48 con Cra 3D,C6-025B  Bosque Verde - Estación Oriente,1615,C6-025B  Bosque Verde - Estación Oriente
-8408662.77790654,694938.802176297,C6-025B,Calle 49 - Cr6AB,Calle 49 - Cr6AB,C6-025B  Bosque Verde - Estación Oriente,1616,C6-025B  Bosque Verde - Estación Oriente
-8408765.93305186,694998.791677959,C6-025B,Calle 49 - Cr7,Calle 49 - Cr7,C6-025B  Bosque Verde - Estación Oriente,1617,C6-025B  Bosque Verde - Estación Oriente
-8409046.91752839,695067.134023871,C6-025B,Calle 49 - Cr10,Calle 49 - Cr10,C6-025B  Bosque Verde - Estación Oriente,1618,C6-025B  Bosque Verde - Estación Oriente
-8409117.51368352,695226.327015135,C6-025B,Cl 49A entre Cra 12 y 12A,Cl 49A entre Cra 12 y 12A,C6-025B  Bosque Verde - Estación Oriente,1619,C6-025B  Bosque Verde - Estación Oriente
-8409117.51368352,695226.327015135,C6-025B,Cl 49A entre Cra 12 y 12A,Cl 49A entre Cra 12 y 12A,C6-025B Estación Oriente - Bosque Verde,1620,C6-025B  Bosque Verde - Estación Oriente
-8409004.76790041,695018.641667087,C6-025B,Cl 49A con Cra 9B,Cl 49A con Cra 9B,C6-025B Estación Oriente - Bosque Verde,1621,C6-025B  Bosque Verde - Estación Oriente
-8408722.36980929,694991.530691344,C6-025B,Cl 49A con Cra 6B,Cl 49A con Cra 6B,C6-025B Estación Oriente - Bosque Verde,1622,C6-025B  Bosque Verde - Estación Oriente
-8408676.84352157,694883.113320753,C6-025B,Cl 48 con Cra 6AB,Cl 48 con Cra 6AB,C6-025B Estación Oriente - Bosque Verde,1623,C6-025B  Bosque Verde - Estación Oriente
-8408555.35897725,694858.749504715,C6-025B,Cl 48 con Cra 3D,Cl 48 con Cra 3D,C6-025B Estación Oriente - Bosque Verde,1624,C6-025B  Bosque Verde - Estación Oriente
-8408622.36301102,694743.368908003,C6-025B,Bosque Verde,Bosque Verde,C6-025B Estación Oriente - Bosque Verde,1625,C6-025B  Bosque Verde - Estación Oriente
-8408721.73037479,694681.590962324,C6-025B,Senderos Bosque Verde,Senderos Bosque Verde,C6-025B Estación Oriente - Bosque Verde,1626,C6-025B  Bosque Verde - Estación Oriente
-8409575.69775301,700793.801341943,C6-020,Cra 32 con Cll 91,Cra 32 con Cll 91,C6-020 San José de La Cima,1627,C6-020 San José La Cima - Estación Universidad
-8409596.08663039,700873.91942383,C6-020,Cll 92C Cra 32,Cll 92C Cra 32,C6-020 Estación Universidad (Reversadero),1628,C6-020 San José La Cima - Estación Universidad
-8409682.86414514,700708.708730441,C6-020,Cr 36 con Cll 91,Cr 36 con Cll 91,C6-020 Estación Universidad (Reversadero),1629,C6-020 San José La Cima - Estación Universidad
-8409789.92855923,700638.318230264,C6-020,Cll. 89 con Cra. 36A,Cll. 89 con Cra. 36A,C6-020 Estación Universidad (Reversadero),1630,C6-020 San José La Cima - Estación Universidad
-8410034.04137207,700649.382033691,C6-020,Cll.89 con Cra 39.,Cll.89 con Cra 39.,C6-020 Estación Universidad (Reversadero),1631,C6-020 San José La Cima - Estación Universidad
-8410127.08171002,700523.634807024,C6-020,Cra. 40 con Cll. 88,Cra. 40 con Cll. 88,C6-020 Estación Universidad (Reversadero),1632,C6-020 San José La Cima - Estación Universidad
-8410033.35989017,700364.008822437,C6-020,Cra.40 con Cll.  86A,Cra.40 con Cll.  86A,C6-020 Estación Universidad (Reversadero),1633,C6-020 San José La Cima - Estación Universidad
-8410094.32739096,700145.644784931,C6-020,Cra. 41 con Cll. 85,Cra. 41 con Cll. 85,C6-020 Estación Universidad (Reversadero),1634,C6-020 San José La Cima - Estación Universidad
-8410137.67932587,699904.229779348,C6-020,Cra. 41 con Cll. 83,Cra. 41 con Cll. 83,C6-020 Estación Universidad (Reversadero),1635,C6-020 San José La Cima - Estación Universidad
-8410174.73427918,699706.565931197,C6-020,Cra.41 con Cll.81,Cra.41 con Cll.81,C6-020 Estación Universidad (Reversadero),1636,C6-020 San José La Cima - Estación Universidad
-8410226.81471845,699609.853633005,C6-020,Cll. 80 con Cra. 41,Cll. 80 con Cra. 41,C6-020 Estación Universidad (Reversadero),1637,C6-020 San José La Cima - Estación Universidad
-8410625.80603439,699680.793977287,C6-020,Cll. 80 con Cra. 45,Cll. 80 con Cra. 45,C6-020 Estación Universidad (Reversadero),1638,C6-020 San José La Cima - Estación Universidad
-8410928.73176505,699735.463089734,C6-020,Cll. 80 con Cra. 47,Cll. 80 con Cra. 47,C6-020 Estación Universidad (Reversadero),1639,C6-020 San José La Cima - Estación Universidad
-8411240.82976265,699790.959221948,C6-020,Cll. 80 con Cra. 50,Cll. 80 con Cra. 50,C6-020 Estación Universidad (Reversadero),1640,C6-020 San José La Cima - Estación Universidad
-8411551.21196048,699846.528955549,C6-020,Cll. 80 con Cra. 50C,Cll. 80 con Cra. 50C,C6-020 Estación Universidad (Reversadero),1641,C6-020 San José La Cima - Estación Universidad
-8411996.08964611,699398.658695184,C6-020,Cra. 53 con Cll. 73,Cra. 53 con Cll. 73,C6-020 Estación Universidad (Reversadero),1642,C6-020 San José La Cima - Estación Universidad
-8411996.08964611,699398.658695184,C6-020,Cra. 53 con Cll. 73,Cra. 53 con Cll. 73,C6-020 El Reversadero,1643,C6-020 San José La Cima - Estación Universidad
-8411476.87926368,699592.748647984,C6-020,Cra. 50 con Cll. 77,Cra. 50 con Cll. 77,C6-020 El Reversadero,1644,C6-020 San José La Cima - Estación Universidad
-8411439.44078086,699806.269999631,C6-020,Cra. 50C con Cll. 79,Cra. 50C con Cll. 79,C6-020 El Reversadero,1645,C6-020 San José La Cima - Estación Universidad
-8411211.5710938,699782.781245548,C6-020,Cll. 80 con Cra. 50,Cll. 80 con Cra. 50,C6-020 El Reversadero,1646,C6-020 San José La Cima - Estación Universidad
-8410936.45709242,699732.546601724,C6-020,Cll. 80 con Cra. 47,Cll. 80 con Cra. 47,C6-020 El Reversadero,1647,C6-020 San José La Cima - Estación Universidad
-8410628.32666154,699675.221652023,C6-020,Cll. 80 con Cra. 45,Cll. 80 con Cra. 45,C6-020 El Reversadero,1648,C6-020 San José La Cima - Estación Universidad
-8410237.83522334,699608.704622287,C6-020,Cll. 80 con Cra. 41,Cll. 80 con Cra. 41,C6-020 El Reversadero,1649,C6-020 San José La Cima - Estación Universidad
-8410169.94125367,699715.525188293,C6-020,Cra.41 con Cll.81,Cra.41 con Cll.81,C6-020 El Reversadero,1650,C6-020 San José La Cima - Estación Universidad
-8410132.85049911,699913.795842536,C6-020,Cra. 41 con Cll. 83,Cra. 41 con Cll. 83,C6-020 El Reversadero,1651,C6-020 San José La Cima - Estación Universidad
-8410088.80608867,700158.880604792,C6-020,Cra. 41 con Cll. 85,Cra. 41 con Cll. 85,C6-020 El Reversadero,1652,C6-020 San José La Cima - Estación Universidad
-8410029.92820601,700365.605675559,C6-020,Cra.40 con Cll.  86A,Cra.40 con Cll.  86A,C6-020 El Reversadero,1653,C6-020 San José La Cima - Estación Universidad
-8410125.67964406,700535.182500161,C6-020,Cra. 40 con Cll. 88,Cra. 40 con Cll. 88,C6-020 El Reversadero,1654,C6-020 San José La Cima - Estación Universidad
-8410029.68155305,700649.264691982,C6-020,Cll.89 con Cra 39.,Cll.89 con Cra 39.,C6-020 El Reversadero,1655,C6-020 San José La Cima - Estación Universidad
-8409801.86855548,700639.465965409,C6-020,Cll. 89 con Cra. 36A,Cll. 89 con Cra. 36A,C6-020 El Reversadero,1656,C6-020 San José La Cima - Estación Universidad
-8409669.11014482,700721.139346167,C6-020,Cr 36 con Cl 91,Cr 36 con Cl 91,C6-020 El Reversadero,1657,C6-020 San José La Cima - Estación Universidad
-8409572.95594772,700785.596467521,C6-020,Cra 32 con Cll 91,Cra 32 con Cll 91,C6-020 El Reversadero,1658,C6-020 San José La Cima - Estación Universidad
-8409364.0152766,695330.210090294,C6-023,Cll 49 con Cra 14C,Cll 49 con Cra 14C,C6-023 Santa Lucía - Estación Alejandro Echavarria,1659,C6-023 Santa Lucía - Estación Alejandro Echavarría
-8409648.2887845,699466.871095017,C6-019,Cra.32C con Cll.79,Cra.32C con Cll.79,C6-019 Raizal -  Gardel - Estación Universidad,1660,C6-019 Raizal - Gardel - Estación Universidad
